Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
AALI,Astra Agro Lestari Tbk.,1997-12-09,1924688333,Utama,Consumer Non-Cyclicals,7925,15253155039025,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ABBA,Mahaka Media Tbk.,2002-04-03,3935892857,Pengembangan,Consumer Cyclicals,185,728140178545,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2002-04-03,2022-10-14
ABDA,Asuransi Bina Dana Arta Tbk.,1989-07-06,620806680,Pengembangan,Financials,6050,3755880414000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ABMM,ABM Investama Tbk.,2011-12-06,2753165000,Utama,Industrials,4050,11150318250000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2011-12-06,2022-10-14
ACES,Ace Hardware Indonesia Tbk.,2007-11-06,17150000000,Utama,Consumer Cyclicals,525,9003750000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2007-11-06,2022-10-14
ACST,Acset Indonusa Tbk.,2013-06-24,12675160000,Utama,Infrastructures,171,2167452360000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2013-06-24,2022-10-14
ADCP,Adhi Commuter Properti Tbk.,2021-05-21,22222222200,Utama,Properties & Real Estate,74,1644444442800,2022-02-21 09:00:00,2022-10-14 15:59:00,2021-05-21 09:00:00,2022-10-14 16:00:00,2021-05-21,2022-10-14
ADES,Akasha Wira International Tbk.,1994-06-13,589896800,Pengembangan,Consumer Non-Cyclicals,7025,4144025020000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ADHI,Adhi Karya (Persero) Tbk.,2004-03-18,3560849376,Utama,Infrastructures,720,2563811550720,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2004-03-18,2022-10-14
ADMF,Adira Dinamika Multi Finance T,2004-03-31,1000000000,Utama,Financials,8225,8225000000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2004-03-31,2022-10-14
ADMG,Polychem Indonesia Tbk,1993-10-20,3889179559,Utama,Basic Materials,161,626157908999,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ADMR,Adaro Minerals Indonesia Tbk.,2022-01-03,40882331500,Pengembangan,Energy,1710,69908786865000,2022-01-03 09:00:00,2022-10-14 15:59:00,2022-01-03 09:00:00,2022-10-14 16:00:00,2022-01-03,2022-10-14
ADRO,Adaro Energy Indonesia Tbk.,2008-07-16,31985962000,Utama,Energy,3950,126344549900000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2008-07-16,2022-10-14
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02,1000000000,Pengembangan,Consumer Non-Cyclicals,304,304000000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2019-12-02,2022-10-14
AGII,Aneka Gas Industri Tbk.,2016-09-28,3066660000,Utama,Basic Materials,2120,6501319200000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2016-09-28,2022-10-14
AGRO,Bank Raya Indonesia Tbk.,2003-08-08,22520054593,Utama,Financials,488,10989786641384,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2003-08-08,2022-10-14
AGRS,Bank IBK Indonesia Tbk.,2014-12-22,17481603282,Pengembangan,Financials,90,1573344295380,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2014-12-22,2022-10-14
AHAP,Asuransi Harta Aman Pratama Tb,1990-09-14,2940000000,Pengembangan,Financials,93,273420000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
AIMS,Akbar Indo Makmur Stimec Tbk,2001-07-20,220000000,Pengembangan,Energy,240,52800000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-07-20,2022-10-14
AISA,FKS Food Sejahtera Tbk.,1997-06-11,9311800000,Utama,Consumer Non-Cyclicals,182,1694747600000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
AKKU,Anugerah Kagum Karya Utama Tbk,2004-11-01,6449463636,Pengembangan,Consumer Cyclicals,50,322473181800,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2004-11-01,2022-10-14
AKPI,Argha Karya Prima Industry Tbk,1992-12-18,612248000,Pengembangan,Basic Materials,1480,906127040000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
AKRA,AKR Corporindo Tbk.,1994-10-03,20073474600,Utama,Energy,1440,28905803424000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13,720000000,Pengembangan,Transportation & Logistic,310,223200000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-07-13,2022-10-14
ALDO,Alkindo Naratama Tbk.,2011-07-12,1316856020,Pengembangan,Basic Materials,740,974473454800,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2011-07-12,2022-10-14
ALKA,Alakasa Industrindo Tbk,1990-07-12,507665055,Pengembangan,Basic Materials,286,145192205730,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
ALMI,Alumindo Light Metal Industry ,1997-01-02,3816000000,Pengembangan,Basic Materials,400,1526400000000,2021-11-01 09:00:00,2022-10-14 15:59:00,2020-04-16 09:00:00,2022-10-14 16:00:00,2001-04-16,2022-10-14
